,mom1.csv,mom12.csv,mom3.csv,mom6.csv,mom9.csv,average
1982M01,,,,,,
1982M02,,,,,,
1982M03,,,,,,
1982M04,,,,,,
1982M05,,,,,,
1982M06,,,,,,
1982M07,,,,,,
1982M08,,,,,,
1982M09,,,,,,
1982M10,,,,,,
1982M11,,,,,,
1982M12,,,,,,
1983M01,,,,,,
1983M02,,,,,,
1983M03,,,,,,
1983M04,,,,,,
1983M05,,,,,,
1983M06,,,,,,
1983M07,,,,,,
1983M08,,,,,,
1983M09,,,,,,
1983M10,,,,,,
1983M11,,,,,,
1983M12,,,,,,
1984M01,,,,,,
1984M02,,,,,,
1984M03,,,,,,
1984M04,,,,,,
1984M05,,,,,,
1984M06,,,,,,
1984M07,,,,,,
1984M08,,,,,,
1984M09,,,,,,
1984M10,,,,,,
1984M11,,,,,,
1984M12,,,,,,
1985M01,,,,,,
1985M02,,,,,,
1985M03,,,,,,
1985M04,,,,,,
1985M05,,,,,,
1985M06,,,,,,
1985M07,,,,,,
1985M08,,,,,,
1985M09,,,,,,
1985M10,,,,,,
1985M11,,,,,,
1985M12,,,,,,
1986M01,,,,,,
1986M02,,,,,,
1986M03,,,,,,
1986M04,,,,,,
1986M05,,,,,,
1986M06,,,,,,
1986M07,,,,,,
1986M08,,,,,,
1986M09,,,,,,
1986M10,,,,,,
1986M11,,,,,,
1986M12,,,,,,
1987M01,,,,,,
1987M02,,,,,,
1987M03,,,,,,
1987M04,,,,,,
1987M05,,,,,,
1987M06,,,,,,
1987M07,,,,,,
1987M08,,,,,,
1987M09,,,,,,
1987M10,,,,,,
1987M11,,,,,,
1987M12,,,,,,
1988M01,,,,,,
1988M02,,,,,,
1988M03,,,,,,
1988M04,,,,,,
1988M05,,,,,,
1988M06,,,,,,
1988M07,,,,,,
1988M08,,,,,,
1988M09,,,,,,
1988M10,,,,,,
1988M11,,,,,,
1988M12,,,,,,
1989M01,,,,,,
1989M02,,,,,,
1989M03,,,,,,
1989M04,,,,,,
1989M05,,,,,,
1989M06,,,,,,
1989M07,,,,,,
1989M08,,,,,,
1989M09,,,,,,
1989M10,,,,,,
1989M11,,,,,,
1989M12,,,,,,
1990M01,,,,,,
1990M02,,,,,,
1990M03,,,,,,
1990M04,,,,,,
1990M05,,,,,,
1990M06,,,,,,
1990M07,,,,,,
1990M08,,,,,,
1990M09,,,,,,
1990M10,,,,,,
1990M11,,,,,,
1990M12,,,,,,
1991M01,-0.007043002887117735,0.0007691817300631536,-0.005661082745079675,-0.0020278599902664894,7.604027189789719e-05,-0.0027773447241005696
1991M02,0.010288465313937265,0.0007812545033452887,-0.005523060692416756,-0.0019650161464523936,0.0055944077796147695,0.001835210151605635
1991M03,-0.006873961605991523,0.0006653297176652604,-0.005490368069503794,-0.0020006901233845377,0.00010134417659721147,-0.0027196691809234764
1991M04,0.010048733072618733,0.0013504773283132807,0.009240726740518639,0.007620130019522676,0.005419405099920865,0.00673589445217884
1991M05,-0.00616135473878702,0.004622781546964308,0.008913156433952515,-0.0014311147182434472,0.005155357544882586,0.0022197652137537884
1991M06,0.009729534014288672,0.005115785234317383,0.009339539573943558,0.007292221383312724,0.005656458221106877,0.0074267076853938435
1991M07,-0.005389230225998202,0.004973828223995322,0.009122311678277564,0.007089300234120477,0.005500034772057905,0.004259248936490613
1991M08,0.00951659610627272,0.004989228452174734,0.009067659648387433,0.007066819888472167,0.005506893515897596,0.00722943952224093
1991M09,0.009527748228547031,0.005074782537996123,0.009086665782368969,0.007124990403264893,0.005586573756090514,0.0072801521416535064
1991M10,-0.005172171146368231,0.004903138622245974,0.008846439454157782,0.0068942243915962025,0.005400678522847114,0.004174461968895768
1991M11,-0.005587960921426235,0.004393421672298538,-0.004831776726739607,0.006285237719881227,0.004866093149940729,0.0010250029787909304
1991M12,-0.005550768187371898,0.0042688439386299355,-0.004808149869300972,-0.0008011490794855226,0.004729873046191812,-0.0004322700302673288
1992M01,0.009288146824307975,0.004289917165996347,-0.004614691469546384,-0.0006861534938260175,0.004744297342560942,0.0026043032738985727
1992M02,0.009451159643970478,0.004523720955643501,0.008264899636761006,-0.0003281338310797987,0.00497830781037575,0.005377990843134187
1992M03,-0.005347325061829737,0.004346554291124112,0.008017100506540108,-0.00044913920583972177,0.000711025827185226,0.0014556432714359975
1992M04,0.00919273494841469,0.004565792637165247,0.008192688964592932,0.006112171211067663,0.0047886962199521895,0.006570416796238545
1992M05,0.009261750591791627,0.004698864735341001,0.008278151709926771,0.006243819421416363,0.00492443972285128,0.006681405236265409
1992M06,-0.004908002081762748,0.004556621509320751,0.008073056061502475,0.006048870599255465,0.004772460606300121,0.0037086013389232126
